Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Старый Оскол	1407	2058	4400	7399	5053	7609	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4400	7399	5053	7609	4044	5053	7399	4044	2521	899
Брянская область												
Брянск	1407	2058	4668	7399	2807	4227	2246	2807	7399	4044	2521	899
Клинцы	1407	2058	4668	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4668	7399	2807	4227	2246	2807	7399	4044	2521	899
Владимирская область												
Владимир	1407	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Гусь-Хрустальный	1407	2058	4118	7399	2807	4227	2808	3509	7399	4044	2521	1124
Муром	1407	2058	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Прочие города и населенные пункты	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Волгоградская область												
Волгоград	1407	2058	4530	7399	2807	4227	2246	2807	7399	4044	2521	899
Волжский	1407	2058	4530	7399	2807	4227	2246	2807	7399	4044	2521	899
Камышин	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Михайловка	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Вологодская область												
Вологда	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Череповец	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Воронежская область												
Борисоглебск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Лиски	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Россошь	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Воронеж	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Ивановская область												
Иваново	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Кинешма	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Шуя	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Иркутская область												
Ангарск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Братск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Тулун	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Усть-Илимск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Усть-Кут	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Черемхово	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Иркутск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Усолье-Сибирское	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Шелехов	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Калининградская область												
Калининград	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Калужская область												
Калуга	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Обнинск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Кемеровская область												
Анжеро-Судженск	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Киселевск	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Юрга	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Белово	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Березовский	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Междуреченск	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Осинники	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Прокопьевск	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Кемерово	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Новокузнецк	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Кировская область												
Киров	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Кирово-Чепецк	1407	2058	4600	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Костромская область												
Кострома	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Курганская область												
Курган	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Шадринск	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Курская область												
Железногорск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Курск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
Ленинградская область	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Липецкая область												
Елец	1407	2058	4400	7399	5053	7609	4044	5053	7399	4044	2521	899
Липецк	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4400	7399	5053	7609	4044	5053	7399	4044	2521	899
Магаданская область												
Магадан	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Московская область	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Мурманская область												
Апатиты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Мончегорск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Мурманск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Североморск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Нижегородская область												
Арзамас	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Выкса	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Саров	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Балахна	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Бор	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Дзержинск	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Кстово	1407	2058	4942	7399	5053	7609	4044	2807	7399	4044	2521	1895
Нижний Новгород	1407	2058	4300	7399	5053	7609	4044	2807	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	2807	7399	4044	2521	1895
Новгородская область												
Боровичи	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Великий Новгород	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Новосибирская область												
Бердск	1407	2058	4700	7399	5053	4227	2246	2807	7399	4044	2521	1895
Искитим	1407	2058	4400	7399	5053	4227	2246	2807	7399	4044	2521	1895
Куйбышев	1407	2058	4942	7399	5053	4227	2246	2807	7399	4044	2521	1895
Новосибирск	1407	2058	4700	7399	5053	4227	2246	2807	7399	4044	2521	1895
Прочие    города    и населенные пункты	1407	2058	4942	7399	5053	4227	2246	2807	7399	4044	2521	1895
Омская область												
Омск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие    города    и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Оренбургская область												
Бугуруслан	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Бузулук	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Новотроицк	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Оренбург	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Орск	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие    города    и населенные пункты	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Орловская область												
Ливны	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Мценск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Орел	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие    города    и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Пензенская область												
Заречный	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Кузнецк	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Пенза	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие    города    и населенные пункты	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Псковская область												
Великие Луки	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Псков	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие    города    и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Ростовская область												
Азов	1407	2573	4942	7399	4000	6000	4044	5053	7399	4044	2521	1124
Батайск	1407	2573	4942	7399	4000	6000	4044	5053	7399	4044	2521	1124
Волгодонск	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Гуково	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Каменск-Шахтинский	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Новочеркасск	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Новошахтинск	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Сальск	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Таганрог	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Ростов-на-Дону	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Шахты	1407	2573	4118	7399	4000	6000	4044	5053	7399	4044	2521	1124
Прочие    города    и населенные пункты	1407	2573	3600	7399	4000	6000	4044	5053	7399	4044	2521	1124
Рязанская область												
Рязань	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область												
Новокуйбышевск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Сызрань	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Самара	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Тольятти	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Чапаевск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область												
Балаково	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Балашов	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Вольск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратов	1407	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
Энгельс	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Сахалинская область												
