Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Борисоглебск, Лиски, Россошь	694	2058	4236	7399	2807	4227	2246	2807	7399	4044	2521	899
Воронеж	694	2058	4236	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Ивановская область												
Иваново	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Кинешма	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Шуя	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Иркутская область												
Ангарск	694	2058	4900	7399	2807	4227	2246	2807	7399	4044	2521	899
Братск, Тулун, Усть-Илимск, Усть-Кут, Черемхово	694	2058	4900	7399	2807	4227	2246	2807	7399	4044	2521	899
Иркутск	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Усолье-Сибирское	694	2058	4936	7399	2807	4227	2246	2807	7399	4044	2521	899
Шелехов	694	2058	4936	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4936	7399	2807	4227	2246	2807	7399	4044	2521	899
Калининградская область												
Калининград	694	2058	4326	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Калужская область												
Калуга	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Обнинск	694	2058	4408	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Кемеровская область												
Анжеро-Судженск, Киселевск, Юрга	694	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Белово, Березовский, Междуреченск, Осинники, Прокопьевск	694	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Кемерово	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Новокузнецк	694	2058	4350	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Кировская область												
Киров	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Кирово-Чепецк	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4561	7399	2807	4227	2246	2807	7399	4044	2521	899
Костромская область												
Кострома	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Курганская область												
Курган	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Шадринск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Курская область												
Железногорск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Курск	694	2058	4359	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Ленинградская область	694	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Липецкая область												
Елец	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Липецк	694	2058	4600	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Магаданская область												
Магадан	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4516	7399	2807	4227	2246	2807	7399	4044	2521	899
Московская область	694	2058	4130	7399	2807	4227	2246	2807	7399	4044	2521	899
Мурманская область												
Апатиты, Мончегорск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Мурманск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Североморск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Нижегородская область												
Арзамас, Выкса, Саров	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Балахна, Бор, Дзержинск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Кстово	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Нижний Новгород	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
