Регион	Населённый пункт	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Красноярский край	Канск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Лесосибирск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Минусинск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Назарово	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Красноярск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Березники	1407	2058	3600	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Краснокамск	1407	2058	3600	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Лысьва	1407	2058	3600	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Чайковский	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Пермь	1407	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Соликамск	1407	2058	3600	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Приморский край	Арсеньев	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	Артем	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	Находка	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	Спасск-Дальний	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	Уссурийск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	Владивосток	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Буденновск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	прочие города и населенные пункты	1407	2058	3912	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Георгиевск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	Ессентуки	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
