Территория преимущественного использования ТС	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Такси	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Костромская область												
Кострома	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганская область												
Курган	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Шадринск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курская область												
Железногорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ленинградская область	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	899
Липецкая область												
Елец	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Липецк	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Магаданская область												
Магадан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Московская область	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	899
Мурманская область												
Апатиты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мончегорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Североморск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область												
Арзамас	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Балахна	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Бор	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Выкса	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Дзержинск	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Кстово	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Нижний Новгород	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Саров	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Прочие города и населенные пункты	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	899
Новгородская область												
Боровичи	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Великий Новгород	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область												
Бердск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Искитим	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Куйбышев	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирск	1407	2911	4530	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Омская область												
Омск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область												
Бугуруслан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Бузулук	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новотроицк	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбург	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область												
Ливны	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мценск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орел	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пензенская область												
Заречный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кузнецк	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пенза	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Псковская область												
Великие Луки	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Псков	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область												
Азов	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Батайск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгодонск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Гуково	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Каменск-Шахтинский	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новочеркасск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новошахтинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростов-на-Дону	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Сальск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Таганрог	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Шахты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Рязанская область												
Рязань	1407	2911	4118	7399	3509	4227	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2911	4942	7399	3509	4227	4044	5053	7399	4044	2521	899
Самарская область												
Новокуйбышевск	1407	2058	4350	7399	2807	4227	2246	2807	7399	4044	2521	899
Самара	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Сызрань	1407	2573	4118	7399	3509	5284	2808	3509	7399	4044	2521	1124
Тольятти	1407	2058	4118	7399	2900	5284	4044	5053	7399	4044	2521	1124
Чапаевск	1407	2058	4350	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область												
Балаково	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
