Территория примущественного использования транспортного средства	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М»)	юридических лиц	физических лиц, индивидуальных предпринимателей	используемые в качестве такси	с разрешенной максимальной массой 16 тонн и менее	с разрешенной максимальной массой более 16 тонн	с числом пассажирских мест до 16 включительно	с числом пассажирских мест более 16	используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не _ааппашаиипм ппарылаллы л пппмгипгп л рымгдиыо_	Троллейбусы (транспортные средства категории «Tb»)	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область												
Азов	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Батайск	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгодонск, Гуково, Каменск-Шахтинский, Новочеркасск, Новошахтинск, Сальск, Таганрог	1407	2911	3900	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростов-на-Дону	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Шахты	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	3900	7399	5053	7609	4044	5053	7399	4044	2521	1895
Рязанская область												
Рязань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Самарская область												
Новокуйбышевск, Сызрань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Самара	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тольятти	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чапаевск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саратовская область												
Балаково, Балашов, Вольск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саратов	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Энгельс	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Сахалинская область												
Южно-Сахалинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Свердловская область												
Асбест, Ревда	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Березовский, Верхняя Пышма, Новоуральск, Первоуральск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Верхняя Салда, Полевской	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Екатеринбург	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область												
Вязьма, Рославль, Сафоново, Ярцево	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тамбовская область												
Мичуринск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тамбов	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тверская область												
Вышний Волочек, Кимры, Ржев	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тверь	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Томская область												
Северск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Томск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область												
Алексин, Ефремов, Новомосковск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тула	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Узловая, Щекино	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тюменская область												
Тобольск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тюмень	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ульяновская область												
Димитровград	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ульяновск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
